'Elapsed time','AECG1','AECG2','AECG3','AECG4'
'seconds','uV','uV','uV','uV'
0.000,-2.100,-8.600,2.100,-3.100
0.001,-3.400,-8.500,2.600,-2.500
0.002,-4.800,-8.200,3.000,-2.000
0.003,-6.000,-8.100,3.300,-1.700
0.004,-6.700,-8.100,3.500,-1.600
0.005,-6.900,-8.300,3.700,-1.500
0.006,-6.900,-8.600,3.900,-1.500
0.007,-6.800,-8.800,4.100,-1.400
0.008,-6.600,-9.000,4.400,-1.400
0.009,-6.200,-9.300,4.600,-1.400
0.010,-5.700,-9.900,4.900,-1.500
0.011,-5.000,-10.900,5.000,-1.700
0.012,-4.400,-12.200,5.100,-2.000
0.013,-4.000,-13.300,5.100,-2.500
0.014,-4.100,-14.200,5.300,-3.200
0.015,-4.600,-14.700,5.400,-4.000
0.016,-5.600,-15.000,5.600,-4.600
0.017,-6.800,-15.100,5.900,-5.100
0.018,-8.200,-14.900,6.100,-5.400
0.019,-9.700,-14.100,6.300,-5.700
0.020,-11.600,-12.500,6.400,-5.900
0.021,-13.900,-10.100,6.500,-6.300
0.022,-16.500,-7.600,6.600,-6.500
0.023,-19.000,-5.300,6.900,-6.600
0.024,-21.200,-3.500,7.100,-6.600
0.025,-23.000,-2.100,7.400,-6.400
0.026,-24.500,-0.800,7.600,-6.400
0.027,-26.100,0.500,7.500,-6.400
0.028,-27.500,1.500,7.200,-6.400
0.029,-28.400,1.900,6.700,-6.300
0.030,-28.200,1.300,6.300,-6.100
0.031,-26.500,-0.200,6.000,-5.900
0.032,-23.700,-2.200,5.900,-5.700
0.033,-20.600,-4.200,5.900,-5.400
0.034,-17.500,-5.800,6.000,-5.000
0.035,-14.600,-6.900,6.100,-4.500
0.036,-11.700,-7.700,6.200,-4.000
0.037,-8.600,-8.400,6.400,-3.700
0.038,-5.700,-9.100,6.700,-3.500
0.039,-3.700,-9.600,7.100,-3.400
0.040,-2.700,-9.900,7.800,-3.100
0.041,-2.600,-10.100,8.400,-2.900
0.042,-3.000,-10.300,9.000,-2.800
0.043,-3.500,-10.500,9.500,-3.100
0.044,-4.200,-10.700,9.800,-3.700
0.045,-5.200,-10.700,10.100,-4.200
0.046,-6.600,-10.500,10.300,-4.400
0.047,-8.400,-10.100,10.300,-4.400
0.048,-10.200,-9.600,10.000,-4.500
0.049,-11.800,-9.100,9.400,-4.600
0.050,-13.400,-8.800,8.500,-4.900
0.051,-15.000,-8.800,7.500,-5.200
0.052,-16.600,-8.900,6.600,-5.300
0.053,-18.300,-9.000,5.700,-5.300
0.054,-19.900,-9.200,5.000,-5.300
0.055,-21.300,-9.300,4.300,-5.300
0.056,-22.600,-9.600,3.700,-5.500
0.057,-23.900,-10.000,3.200,-5.500
0.058,-25.300,-10.600,2.900,-5.500
0.059,-26.800,-11.300,2.800,-5.400
0.060,-28.300,-11.900,3.000,-5.200
0.061,-29.400,-12.500,3.200,-5.100
0.062,-30.300,-12.900,3.400,-5.000
0.063,-31.200,-13.100,3.500,-4.900
0.064,-32.300,-13.400,3.600,-5.000
